business_id,name,city,review_count,rating
CcbFduunKlsrnW71-PH0ZA,Pocha K,newark,55,4.5
purj1aiUzDi0I__qLOaNRg,四姐 Pan Fried Dumplings,newark,613,4.5
1y4juqtkSJ9DPPZyRMi-xA,Mingkee Deli,newark,17,3.5
9Shb0yRis5NEQ5xIGG0FcA,Duobao BBQ & Dumplings,newark,43,4.5
i_GuYJ_1hmW-lHeQ4GmOiw,Lazy Dog Restaurant & Bar,newark,1617,4.0
FQnIs9ojngandeHW4UrasA,California Soul Food,newark,3,5.0
kl8JGeBsEYdiFHi1RGSt3Q,Wakatobi,newark,75,4.0
SyR3XRGBJUSe-R5qS0hbcg,Jack’s Restaurant & Bar,newark,1178,4.0
_k7U8HEAsBWScymSKWFAfQ,Mingala Restaurant,newark,83,4.5
JvSvKpVFQ13VM28n7y-BOw,Oyama BBQ,newark,21,4.5
Hf3h4YNR8eL0Xdf5yygmIA,Sia Fusion Eatery,newark,952,4.0
AQmvxB-kFYbWrRiH1Lg_pg,Tramy’s Restaurant,newark,51,4.5
3sbLSabASVp3WKnKXjraRQ,The Breeze Cafe,newark,190,4.0
yFO_tqCmOMSX78YmAwvs1Q,Chef Cho,newark,142,4.0
IC78czdLXY8KJcr5YuokEA,Tao‘s Fresh,newark,102,4.5
kcmOYC_GcAejftcoRTZrTQ,Urban Kitchen,newark,327,4.0
zcoxkYM8YbMssGPxVCk9Sg,Bear Bitez,newark,587,4.5
TaqkqZgKcemkUEjdTLCoOg,Spicy Kitchen,newark,6,4.5
dlvefpe8VYntNE5ihklegw,Yugo Ramen,newark,653,4.0
wunEiZBezjvnrPNiqZn_FQ,Customize MaLaTang,newark,58,4.0
MkiwFVtXog0EWdQHm37S_g,flaming house,newark,0,0.0
lLuU-c5EF_plZibCpxku0Q,Hunan Mifen,newark,42,4.5
1Xdwe6i2ycsGgJNnmE6jhQ,My No. 1 BBQ And Tofu,newark,250,4.0
UKPw-0Vv7ECu7RB4XTf5tQ,Rice and Spoon Vietnamese Cuisine,newark,370,4.0
ufBkpK4n3hCs3Z5exzjomg,Cal Eats Fresh Mexican Grill,newark,583,4.5
2gDegtklnluKFM9qyEWJVQ,Pupuseria y Taqueria Rosita,newark,346,4.0
XiZMgRdHEHNVMjbAEui3Vw,All Star Burgers,newark,279,4.0
fKZvocHiNA0iToqo780_LA,El Hornito Pan Pizza,newark,66,4.5
Sf1T-8QWkIUnLHq7zC7juQ,Tasty Pot,newark,878,4.0
exYLsfUS2cTODkUR2goQMw,Crabby Crabby,newark,123,4.0
Usx2SKFJLJJtrSMt9bnZ3g,Indigo Burger,newark,324,4.5
1v33T5u8gmCCGTFPi-Mtww,Fairwood Cafe,newark,241,3.5
MJi68LbnVXlkyggOQjZ_OA,La Huasteca Taqueria and Mini Market,newark,386,4.0
X4jb8BGofvo5Fj36sC60dQ,Amausaan Uji Matcha,newark,262,4.0
nTH1dhzzo_2tA4bqBQUn-w,Long Men Bay Hot Pot,newark,21,4.5
A-NOOW_ylcV6pyPC4GgW1Q,Pho Nation,newark,269,4.0
_anR0d7K6-nwY1Ravk9VuA,O’ Sushi,newark,900,4.0
1sdOcUId3saSxZ7T_kIRuA,Legend Hotpot,newark,140,3.5
AseBnnqfbn31x84uF_cRZQ,Hibiscus tree,newark,6,4.0
EThnqjaucsBgHD3IJGMWRA,Dino’s Grill,newark,397,4.0
-iIjtbbSGVwg0tdPq5k-8g,BJ’s Restaurant & Brewhouse,newark,1837,3.0
bhULAMye5T7TJeKwZAJDFA,Himalayan Chef Kitchen,newark,86,4.5
l6QzPXNrCoR_EMJTl4W1KA,K-Town BBQ,newark,403,4.0
e5A0ZnwiIZsGWROUTusneQ,Vons Chicken Newark,newark,114,4.0
w3vb2leCHvQV8axU_6v9fw,Saffron Grill,newark,434,4.0
FolIOuNbRuW42xDcuyun5g,Cousin Cafe,newark,477,3.5
RalVR44jJSffoHCLHNYAKQ,Hummus Republic,newark,104,4.5
7ojDHDyjB7EdmdUVVpHY3Q,Chopsticks Pho & Grill,newark,316,4.0
GkfaGOScA92wpGGXbD14-Q,Juanita’s Polynesian Delights,newark,52,4.0
vu9iWvr8SUtpzQratYasXw,Emperor Dynasty Banquet,newark,7,5.0
hm6E9Wbe38FvcN80pOG8Yg,Banh Mi by Rice and Spoon,newark,108,4.0
1RreUyIThoYEGEtC17mGRQ,Vinum Japanese Fusion & Bar,newark,358,4.0
tcvYsxrBgK4T2U9gHHKIlg,Venus Cafe,newark,593,3.5
ngSgPmMjXOsWlx6wNNwSng,Cocolo Ramen,newark,146,4.0
6I_ZDmceHGMyxk68X3BEvQ,Simmer Huang,newark,2,3.5
